index,category,name,text1,text2,text3
1,ECS_ITEM,item_bat_e,E Grade Bat,NULL,NULL
2,ECS_ITEM,item_bat_d,D Grade Bat,NULL,NULL
3,ECS_ITEM,item_bat_c,C Grade Bat,NULL,NULL
4,ECS_ITEM,item_bat_b,B Grade Bat,NULL,NULL
5,ECS_ITEM,item_bat_a,A Grade Bat,NULL,NULL
6,ECS_ITEM,item_bat_s,S Grade Bat,NULL,NULL
7,ECS_ITEM,item_ball_e,E Grade Ball,NULL,NULL
8,ECS_ITEM,item_ball_d,D Grade Ball,NULL,NULL
9,ECS_ITEM,item_ball_c,C Grade Ball,NULL,NULL
10,ECS_ITEM,item_ball_b,B Grade Ball,NULL,NULL
11,ECS_ITEM,item_ball_a,A Grade Ball,NULL,NULL
12,ECS_ITEM,item_ball_s,S Grade Ball,NULL,NULL
13,ECS_ITEM,item_helmet_e,E Grade Helmet,NULL,NULL
14,ECS_ITEM,item_helmet_d,D Grade Helmet,NULL,NULL
15,ECS_ITEM,item_helmet_c,C Grade Helmet,NULL,NULL
16,ECS_ITEM,item_helmet_b,B Grade Helmet,NULL,NULL
17,ECS_ITEM,item_helmet_a,A Grade Helmet,NULL,NULL
18,ECS_ITEM,item_helmet_s,S Grade Helmet,NULL,NULL
19,ECS_ITEM,item_cap_e,E Grade Cap,NULL,NULL
20,ECS_ITEM,item_cap_d,D Grade Cap,NULL,NULL
21,ECS_ITEM,item_cap_c,C Grade Cap,NULL,NULL
22,ECS_ITEM,item_cap_b,B Grade Cap,NULL,NULL
23,ECS_ITEM,item_cap_a,A Grade Cap,NULL,NULL
24,ECS_ITEM,item_cap_s,S Grade Cap,NULL,NULL
25,ECS_ITEM,item_globe_e,E Grade Batting Gloves,NULL,NULL
26,ECS_ITEM,item_globe_d,D Grade Batting Gloves,NULL,NULL
27,ECS_ITEM,item_globe_c,C Grade Batting Gloves,NULL,NULL
28,ECS_ITEM,item_globe_b,B Grade Batting Gloves,NULL,NULL
29,ECS_ITEM,item_globe_a,A Grade Batting Gloves,NULL,NULL
30,ECS_ITEM,item_globe_s,S Grade Batting Gloves,NULL,NULL
31,ECS_ITEM,item_glove_e,E Grade Pitcher Glove,NULL,NULL
