nTESTSERVER ,@#, D:\svn\lib\lib_mech\src\server\TestServer\TestCommon\excel ,@#, aq_table

enum ,@#, EAttackType ,@#, 설명없음

enumItem ,@#, NONE ,@#,  1  ,@#, ATK_NONE ,@#, 효과 없음
enumItem ,@#, 일반 ,@#,  2  ,@#, ATK_NORMAL ,@#, 일반 공격
enumItem ,@#, 밀기 ,@#,  3  ,@#, ATK_PUSH ,@#, 적을 뒤로 밀리게 한다.
enumItem ,@#, 당기기 ,@#,  4  ,@#, ATK_PULL ,@#, 적을 끌어 당긴다.
enumItem ,@#, 띄우기 ,@#,  5  ,@#, ATK_AERIAL ,@#, 적을 뛰운다
enumItem ,@#, 날리기 ,@#,  6  ,@#, ATK_BLOW ,@#, 적을 날린다


enum ,@#, EAvatarParts ,@#, 설명없음

enumItem ,@#, 아바타 머리 ,@#,  1  ,@#, PART_VISUAL_HEAD ,@#, 아바타 장비
enumItem ,@#, 아바타 얼굴 ,@#,  2  ,@#, PART_VISUAL_FACE ,@#, 
enumItem ,@#, 아바타 어깨 ,@#,  3  ,@#, PART_VISUAL_SHOULDER ,@#, 
enumItem ,@#, 아바타 바디 ,@#,  4  ,@#, PART_VISUAL_BODY ,@#, 
enumItem ,@#, 아바타 손 ,@#,  5  ,@#, PART_VISUAL_HAND ,@#, 
enumItem ,@#, 아바타 허리 ,@#,  6  ,@#, PART_VISUAL_WAIST ,@#, 
enumItem ,@#, 아바타 다리 ,@#,  7  ,@#, PART_VISUAL_LEGS ,@#, 
enumItem ,@#, 아바타 발 ,@#,  8  ,@#, PART_VISUAL_FEET ,@#, 
enumItem ,@#, 아바타 등 ,@#,  9  ,@#, PART_VISUAL_BACK ,@#, 
enumItem ,@#, 아바타 무기 오른손 ,@#,  10  ,@#, PART_WEAPON_RH ,@#, 무기 장비
enumItem ,@#, 아바타 무기 왼손 ,@#,  11  ,@#, PART_WEAPON_LH ,@#, 
enumItem ,@#, 아바타 무기 양손 ,@#,  12  ,@#, PART_WEAPON_2H ,@#, 
